Forefoot left N
Forefoot right N
Backfoot left N
Backfoot right N
Forefoot left %
Forefoot right %
Backfoot left %
Backfoot right %
Foot rotation L degree
Foot rotation L SD degree
Foot rotation R degree
Foot rotation R SD degree
Step length L cm
Step length L SD cm
Step length R cm
Step length R SD cm
Stride length cm
Stride length SD cm
Step width cm
Step width SD cm
Stance phase L %
Stance phase L SD %
Stance phase R %
Stance phase R SD %
Load response L %
Load response L SD %
Load response R %
Load response R SD %
Single limb support L %
Single limb support L SD %
Single limb support R %
Single limb support R SD %
Pre-Swing L %
Pre-Swing L SD %
Pre-Swing R %
Pre-Swing R SD %
Swing phase L %
Swing phase L SD %
Swing phase R %
Swing phase R SD %
Double stance phase %
Double stance phase SD %
Step time L sec
Step time L SD sec
Step time R sec
Step time R SD sec
Stride time sec
Stride time SD sec
Cadence steps/min
Cadence SD steps/min
Velocity km/h
Velocity SD km/h
Length of gait line L mm
Length of gait line L SD mm
Length of gait line R mm
Length of gait line R SD mm
Single limb support line L mm
Single limb support line L SD mm
Single limb support line R mm
Single limb support line R SD mm
Ant/post position mm
Ant/post position SD mm
Lateral symmetry mm
Lateral symmetry SD mm
Max gait line velocity cm/sec
Time change heel to forefoot L sec
Time change heel to forefoot L SD sec
Time change heel to forefoot R sec
Time change heel to forefoot R SD sec
Time change heel to forefoot L %
Time change heel to forefoot L SD %
Time change heel to forefoot R %
Time change heel to forefoot R SD %
Maximum force Forefoot L N
Maximum force Forefoot L SD N
Maximum force Forefoot R N
Maximum force Forefoot R SD N
Maximum force Midfoot L N
Maximum force Midfoot L SD N
Maximum force Midfoot R N
Maximum force Midfoot R SD N
Maximum force Heel L N
Maximum force Heel L SD N
Maximum force Heel R N
Maximum force Heel R SD N
Maximum pressure Forefoot L N/cm²
Maximum pressure Forefoot L SD N/cm²
Maximum pressure Forefoot R N/cm²
Maximum pressure Forefoot R SD N/cm²
Maximum pressure Midfoot L N/cm²
Maximum pressure Midfoot L SD N/cm²
Maximum pressure Midfoot R N/cm²
Maximum pressure Midfoot R SD N/cm²
Maximum pressure Heel L N/cm²
Maximum pressure Heel L SD N/cm²
Maximum pressure Heel R N/cm²
Maximum pressure Heel R SD N/cm²
Time maximum force Forefoot L  % of stance time
Time maximum force Forefoot L SD  % of stance time
Time maximum force Forefoot R  % of stance time
Time maximum force Forefoot R SD  % of stance time
Time maximum force Midfoot L  % of stance time
Time maximum force Midfoot L SD  % of stance time
Time maximum force Midfoot R  % of stance time
Time maximum force Midfoot R SD  % of stance time
Time maximum force Heel L  % of stance time
Time maximum force Heel L SD  % of stance time
Time maximum force Heel R  % of stance time
Time maximum force Heel R SD  % of stance time
